feature,feature,type,p_value,relevant
"F_x__fft_coefficient__coeff_90__attr_""abs""","F_x__fft_coefficient__coeff_90__attr_""abs""",real,2.2824693661792522e-29,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",real,1.2575679498064596e-27,True
F_x__partial_autocorrelation__lag_4,F_x__partial_autocorrelation__lag_4,real,7.50765930539934e-27,True
"F_x__fft_coefficient__coeff_84__attr_""abs""","F_x__fft_coefficient__coeff_84__attr_""abs""",real,9.887912412780821e-27,True
F_x__autocorrelation__lag_2,F_x__autocorrelation__lag_2,real,1.2611132116204109e-25,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",real,1.3089565737508125e-24,True
F_x__partial_autocorrelation__lag_2,F_x__partial_autocorrelation__lag_2,real,8.088712480542622e-23,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",real,8.191304899153776e-23,True
F_x__number_crossing_m__m_0,F_x__number_crossing_m__m_0,real,4.853414628668937e-22,True
F_x__count_below__t_0,F_x__count_below__t_0,real,1.2594536431269628e-21,True
F_x__count_above__t_0,F_x__count_above__t_0,real,1.2594536431269628e-21,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",real,2.8039994661749407e-21,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",real,7.14147962567563e-20,True
"F_x__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""stderr""","F_x__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""stderr""",real,7.996692343686396e-19,True
"F_x__fft_aggregated__aggtype_""skew""","F_x__fft_aggregated__aggtype_""skew""",real,7.645160709250899e-18,True
"F_x__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""rvalue""","F_x__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""rvalue""",real,1.3560815314729242e-17,True
F_x__ar_coefficient__k_10__coeff_0,F_x__ar_coefficient__k_10__coeff_0,real,1.978748569383153e-17,True
F_x__autocorrelation__lag_3,F_x__autocorrelation__lag_3,real,2.1989952925565955e-17,True
"F_x__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""slope""","F_x__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""slope""",real,4.311799149243084e-17,True
"F_x__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""rvalue""","F_x__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""rvalue""",real,4.350819034683714e-17,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",real,1.279099596165165e-16,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",real,2.9316217349643197e-16,True
F_x__mean_abs_change,F_x__mean_abs_change,real,2.9316217349643197e-16,True
